Name;VПАВ;Vвода;C;sigma;h;h1;h2;h3;h4;h6;h7;h8;h9;hA;hB;hC;hD
0;0;30;0;72.75;3881.75;3891;3898;3883;3881;3877;3881;3874;3872;3885;3868;3878;3893
1;1;29;0.0066666667;68.0708604367;3632.0833333333;3637;3612;3654;3616;3627;3659;3612;3656;3629;3625;3643;3615
2;1.5;28.5;0.01;66.1326721195;3528.6666666667;3532;3538;3537;3511;3509;3548;3537;3542;3522;3538;3510;3520
3;2;28;0.0133333333;63.8024731114;3404.3333333333;3405;3396;3402;3419;3378;3397;3412;3432;3397;3431;3400;3383
4;2.5;27.5;0.0166666667;61.4301056225;3277.75;3270;3271;3276;3277;3269;3274;3270;3274;3276;3312;3294;3270
5;3.5;26.5;0.0233333333;58.5735815032;3125.3333333333;3119;3154;3152;3104;3102;3106;3104;3139;3147;3127;3108;3142
6;5;25;0.0333333333;54.5332163328;2909.75;2907;2910;2905;2904;2924;2900;2916;2929;2904;2890;2905;2923
7;7.5;22.5;0.05;49.2309203323;2626.8333333333;2631;2634;2628;2630;2633;2634;2624;2622;2605;2609;2629;2643
8;10;20;0.0666666667;44.4518258517;2371.8333333333;2384;2383;2393;2337;2359;2395;2406;2369;2360;2374;2343;2359
9;15;15;0.1;38.4420364526;2051.1666666667;2064;2036;2084;2030;2069;2100;2055;2006;2024;2044;2045;2057
10;20;10;0.1333333333;34.5609744316;1844.0833333333;1844;1836;1850;1876;1831;1849;1832;1807;1803;1840;1829;1932
11;30;0;0.2;28.874476718;1540.6666666667;1531;1527;1523;1546;1542;1561;1522;1556;1541;1565;1538;1536
6У;5;25;0.0333333333;61.0037354286;3255;3238;3231;3268;3233;3246;3264;3273;3282;3258;3238;3289;3240
7У;7.5;22.5;0.05;53.0260835963;2829.3333333333;2800;2823;2833;2836;2830;2829;2825;2830;2834;2837;2846;2829
8У;10;20;0.0666666667;52.5825336511;2805.6666666667;2774;2805;2776;2802;2805;2779;2805;2821;2823;2836;2820;2822
9У;15;15;0.1;47.0709570426;2511.5833333333;2520;2516;2521;2536;2522;2477;2467;2514;2524;2522;2500;2520
10У;20;10;0.1333333333;42.2653120371;2255.1666666667;2238;2291;2242;2230;2279;2270;2281;2236;2266;2230;2253;2246
11У;30;0;0.2;42.1950312359;2251.4166666667;2242;2240;2233;2246;2244;2239;2245;2248;2257;2264;2276;2283
